time,strike,mid_price,spread
16:38:35,23550,299.5,5.0
16:38:35,23600,297.0,4.0
16:38:35,23650,301.5,3.0
16:39:49,23550,299.5,3.0
16:39:49,23600,297.5,5.0
16:39:49,23650,301.0,4.0
16:46:28,23500,307.5,3.0
16:46:28,23550,298.5,5.0
16:46:28,23600,298.5,3.0
16:50:20,23550,299.0,4.0
16:50:20,23600,297.0,4.0
16:50:20,23650,301.0,4.0
16:54:37,23550,297.5,5.0
16:54:37,23600,293.0,4.0
16:54:37,23650,294.0,4.0
16:55:06,23550,296.5,3.0
16:55:06,23600,293.0,4.0
16:55:06,23650,294.0,2.0
16:55:34,23550,297.5,3.0
16:55:34,23600,291.5,3.0
16:55:34,23650,293.5,5.0
17:09:15,23550,296.0,4.0
17:09:15,23600,292.0,4.0
17:09:15,23650,296.0,4.0
17:09:43,23550,295.0,4.0
17:09:43,23600,292.5,5.0
17:09:43,23650,295.0,4.0
17:10:16,23550,295.0,4.0
17:10:16,23600,292.0,4.0
17:10:16,23650,295.5,5.0
17:11:33,23550,296.0,4.0
17:11:33,23600,293.0,4.0
17:11:33,23650,295.5,3.0
17:12:02,23550,295.0,4.0
17:12:02,23600,291.5,5.0
17:12:02,23650,294.5,3.0
17:12:32,23550,294.5,5.0
17:12:32,23600,291.0,4.0
17:12:32,23650,294.5,5.0
17:13:01,23550,295.0,4.0
17:13:01,23600,291.0,4.0
17:13:01,23650,295.5,3.0
17:13:36,23550,295.5,3.0
17:13:36,23600,292.0,4.0
17:13:36,23650,294.0,4.0
17:14:00,23550,294.5,3.0
17:14:00,23600,291.5,5.0
17:14:00,23650,295.0,4.0
17:18:11,23500,300.0,4.0
17:18:11,23550,292.5,3.0
17:18:11,23600,292.0,4.0
17:18:35,23500,301.0,4.0
17:18:35,23550,291.0,4.0
17:18:35,23600,290.5,3.0
17:19:02,23500,298.5,3.0
17:19:02,23550,290.5,3.0
17:19:02,23600,289.5,3.0
17:19:30,23500,299.0,4.0
17:19:30,23550,290.5,3.0
17:19:30,23600,289.5,3.0
17:20:01,23500,299.0,4.0
17:20:01,23550,291.0,4.0
17:20:01,23600,289.5,3.0
17:20:24,23500,298.5,3.0
17:20:24,23550,290.0,4.0
17:20:24,23600,289.5,3.0
17:21:03,23500,298.5,3.0
17:21:03,23550,290.0,4.0
17:21:03,23600,289.5,3.0
17:21:32,23500,298.0,4.0
17:21:32,23550,290.0,4.0
17:21:32,23600,290.0,4.0
17:21:53,23500,296.5,3.0
17:21:53,23550,288.5,3.0
17:21:53,23600,287.5,3.0
17:22:30,23500,297.5,3.0
17:22:30,23550,287.5,3.0
17:22:30,23600,287.5,3.0
17:23:02,23500,296.5,3.0
17:23:02,23550,288.0,4.0
17:23:02,23600,287.5,3.0
17:23:33,23500,296.0,4.0
17:23:33,23550,288.0,4.0
17:23:33,23600,289.5,5.0
17:24:04,23500,295.0,2.0
17:24:04,23550,289.0,4.0
17:24:04,23600,289.5,3.0
17:24:36,23500,295.0,4.0
17:24:36,23550,288.0,4.0
17:24:36,23600,288.5,3.0
17:25:30,23500,293.5,3.0
17:25:30,23550,286.5,3.0
17:25:30,23600,287.0,4.0
17:26:07,23500,293.0,4.0
17:26:07,23550,286.0,4.0
17:26:07,23600,287.0,4.0
17:26:37,23500,294.0,4.0
17:26:37,23550,286.5,5.0
17:26:37,23600,288.0,2.0
17:26:57,23500,294.5,3.0
17:26:57,23550,288.5,3.0
17:26:57,23600,288.0,2.0
17:27:35,23500,294.5,3.0
